numero_de_cliente,estimulo
4566172,0
4566235,0
4566241,0
4566480,0
4566489,0
4566584,0
4566819,0
4567055,0
4567146,0
4567250,0
4567498,0
4567796,0
4567978,0
4567997,0
4568107,0
4568120,0
4568280,0
4568494,0
4568676,0
4568820,0
4569257,0
4569408,0
4569537,0
4569600,0
4569640,0
4569769,0
4569772,0
4569926,0
4570099,0
4570426,0
4570526,0
4570558,0
4570690,0
4570699,0
4570746,0
4570784,0
4571431,0
4571582,0
4571645,0
4571698,0
4571880,0
4572260,0
4572323,0
4572333,0
4572392,0
4572496,0
4572534,0
4572678,0
4572681,0
4572722,0
4572769,0
4572839,0
4573052,0
4573203,0
4573593,0
4573706,0
4574123,0
4574337,0
4574365,0
4574390,0
4574425,0
4574711,0
4574764,0
4574903,1
4575041,0
4575066,0
4575072,0
4575239,0
4575377,0
4575402,0
4575550,0
4575562,0
4575650,1
4575707,0
4575726,0
4575776,0
4575792,0
4575814,0
4576263,0
4576552,0
4576891,0
4576897,0
4576989,0
4577023,0
4577315,0
4577356,0
4577469,0
4577526,0
4577623,0
4577774,0
4577871,0
4577903,0
4577906,0
4578277,0
4578541,0
4578735,0
4579433,0
4579452,0
4579615,0
4579668,0
4579734,0
4579973,0
4580008,0
4580451,0
4580579,0
4580746,0
4581425,0
4581582,0
4581635,0
4581704,0
4581783,0
4581827,0
4581880,0
4581974,0
4582025,0
4582069,0
4582109,0
4582326,0
4582348,0
4582587,0
4582848,0
4583033,0
4583046,0
4583595,0
4583884,0
4584199,0
4584406,0
4584503,0
4584569,0
4584663,0
4584934,0
4585072,0
4585619,0
4585697,0
4585763,0
4586014,0
4586369,0
4586482,0
4586627,0
4586640,0
4586643,0
4586750,0
4586815,0
4586991,1
4587067,0
4587095,0
4587240,1
4587375,0
4587513,0
4587720,0
4587736,0
4587943,0
4588053,0
4588185,0
4588220,0
4588361,0
4588418,0
4588455,0
4589052,0
4589558,0
4589655,0
4589662,0
4589665,0
4589932,0
4590139,0
4590551,0
4590592,0
4590683,0
4590689,0
4590981,0
4591151,0
4591217,0
4591484,0
4591644,0
4591770,0
4592241,0
4592364,0
4592527,0
4592621,0
4592640,0
4593042,0
4593306,0
4593495,0
4593686,0
4593699,0
4594082,0
4594217,0
4594446,0
4594603,0
4594704,0
4594748,0
4595015,0
4595254,0
4595342,0
4595417,0
4595427,0
4595637,0
4595760,0
4595848,0
4595926,0
4596278,0
4596492,0
4596649,0
4596809,0
4597007,0
4597016,0
4597098,0
4597123,0
4597136,0
4597736,1
4597820,0
4597927,0
4598040,0
4598185,0
4599061,0
4599105,0
4599184,0
4599328,0
4599457,0
4599595,0
4600296,1
4600343,0
4600469,0
4600491,0
4600726,0
4600915,0
4600993,0
4601069,0
4601424,0
4601531,0
4601876,0
4601889,0
4601901,0
4601905,0
4601967,0
4602052,0
4602297,0
4602322,0
4602357,0
4602558,0
4602709,0
4602715,0
4602819,0
4602916,0
4602998,0
4603108,0
4603127,0
4603394,0
4603450,0
4603463,0
4603783,0
4604009,0
4604097,0
4604185,0
4604273,0
4604437,0
4604440,0
4604493,0
4604503,0
4605008,0
4605040,0
4605078,1
4605131,0
4605263,0
4605291,0
4605323,0
4605784,0
4605863,0
4605910,0
4605963,0
4606014,0
4606042,0
4606089,0
4606221,0
4606281,0
4606290,0
4606303,0
4606428,0
4606479,0
4606482,0
4606570,0
4606677,0
4606809,0
4607189,0
